CustomerID,Name,Age,Gender,City,Income,PurchaseID,Product,Quantity,Amount,MembershipType,JoinDate
101,Ali,25.0,M,Lahore,50000.0,P001,Laptop,1.0,90000.0,Gold,2024-01-05
101,Ali,25.0,M,Lahore,50000.0,P003,Mouse,3.0,1500.0,Gold,2024-01-05
101,Ali,25.0,M,Lahore,50000.0,P010,Laptop,2.0,90000.0,Gold,2024-01-05
102,Sara,32.5,F,Karachi,70000.0,P002,Phone,2.0,25000.0,Silver,2023-06-15
103,Ahmed,35.0,M,Lahore,60384.61538461538,P004,Keyboard,1.0,3000.0,Bronze,2023-11-20
104,Fatima,32.75,F,Karachi,45000.0,,,,,Gold,2024-02-10
105,Usman,45.0,M,Islamabad,120000.0,P006,Laptop,1.0,95000.0,Platinum,2022-08-30
106,Ayesha,28.0,F,Lahore,38000.0,P007,Tablet,2.0,35000.0,,
107,Bilal,32.75,M,Karachi,95000.0,,,,,Silver,2023-03-22
108,Zara,32.5,F,Islamabad,62000.0,P009,Headphones,1.0,8000.0,,
109,Hassan,32.0,M,Lahore,60384.61538461538,P011,Phone,1.0,24000.0,Bronze,2024-04-01
110,Nadia,55.0,F,Lahore,60384.61538461538,P012,Monitor,1.0,29500.0,,
111,Omar,22.0,M,Karachi,48000.0,P013,Tablet,2.0,34000.0,Gold,2023-09-17
112,Sana,40.0,F,Islamabad,85000.0,,,,,,
113,Tariq,32.75,M,Lahore,55000.0,,,,,Silver,2022-12-05
114,Hira,60.0,F,Karachi,72000.0,,,,,,
115,Kamran,33.0,M,Islamabad,60384.61538461538,,,,,Platinum,2024-05-19
